INFO   08:53:17 : Id:315180533276; 频点:492079915Hz; 功率:16.30dbm; 时钟周期:1000001.5330us; 发送电流:62.78mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:28 : Id:315180533403; 频点:492079975Hz; 功率:16.23dbm; 时钟周期:1000001.8330us; 发送电流:61.21mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:38 : Id:315180533312; 频点:492079982Hz; 功率:16.07dbm; 时钟周期:1000001.1660us; 发送电流:61.34mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:59 : Id:315180533209; 频点:492079892Hz; 功率:16.30dbm; 时钟周期:1000002.2330us; 发送电流:62.16mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:10 : Id:315180533175; 频点:44126796Hz; 功率:-19.10dbm; 时钟周期:1000001.7000us; 发送电流:56.50mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:54:21 : Id:315180533175; 频点:492080003Hz; 功率:16.30dbm; 时钟周期:1000001.7660us; 发送电流:62.50mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:32 : Id:315180533402; 频点:492079981Hz; 功率:16.30dbm; 时钟周期:1000001.7330us; 发送电流:62.37mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:44 : Id:315180533256; 频点:492079944Hz; 功率:16.30dbm; 时钟周期:1000001.4330us; 发送电流:62.65mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:07 : Id:315180533064; 频点:492079948Hz; 功率:16.30dbm; 时钟周期:1000000.8660us; 发送电流:61.53mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:28 : Id:315180533370; 频点:492079948Hz; 功率:16.20dbm; 时钟周期:1000001.5660us; 发送电流:61.54mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:38 : Id:315180533059; 频点:492079999Hz; 功率:16.30dbm; 时钟周期:1000001.4330us; 发送电流:62.40mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:49 : Id:315180533130; 频点:492079992Hz; 功率:14.60dbm; 时钟周期:1000001.1000us; 发送电流:63.67mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:56:00 : Id:315180533130; 频点:492079995Hz; 功率:16.20dbm; 时钟周期:1000001.1330us; 发送电流:61.08mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:21 : Id:315180532939; 频点:492079992Hz; 功率:16.17dbm; 时钟周期:1000002.2330us; 发送电流:60.06mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:31 : Id:315180533415; 频点:492080040Hz; 功率:16.13dbm; 时钟周期:1000001.6000us; 发送电流:62.21mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:42 : Id:315180533215; 频点:492079991Hz; 功率:16.30dbm; 时钟周期:1000002.4000us; 发送电流:60.98mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:52 : Id:315180533285; 频点:492079990Hz; 功率:16.10dbm; 时钟周期:1000001.2330us; 发送电流:61.19mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:03 : Id:315180533061; 频点:492079956Hz; 功率:16.30dbm; 时钟周期:999998.9660us; 发送电流:62.50mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:16 : Id:315180532463; 频点:492079976Hz; 功率:16.30dbm; 时钟周期:1000001.5000us; 发送电流:61.91mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:26 : Id:315180532802; 频点:492080000Hz; 功率:16.50dbm; 时钟周期:1000001.8660us; 发送电流:62.09mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:37 : Id:315180532871; 频点:492079968Hz; 功率:16.10dbm; 时钟周期:1000001.5660us; 发送电流:60.96mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:48 : Id:315180533126; 频点:492079958Hz; 功率:16.20dbm; 时钟周期:1000000.6000us; 发送电流:62.67mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:00 : Id:315180533595; 频点:492079988Hz; 功率:15.10dbm; 时钟周期:1000002.2000us; 发送电流:62.69mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:10 : Id:315180533514; 频点:492079904Hz; 功率:16.10dbm; 时钟周期:1000001.3330us; 发送电流:60.84mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:20 : Id:315180533623; 频点:492080013Hz; 功率:16.30dbm; 时钟周期:1000001.5330us; 发送电流:62.03mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:30 : Id:315180532861; 频点:492080062Hz; 功率:16.50dbm; 时钟周期:1000001.1660us; 发送电流:62.44mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:41 : Id:315180532846; 频点:492079957Hz; 功率:16.13dbm; 时钟周期:1000001.4000us; 发送电流:62.28mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:59 : Id:315180532840; 频点:492080015Hz; 功率:16.20dbm; 时钟周期:1000001.0330us; 发送电流:61.51mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:10 : Id:315180533034; 频点:492079970Hz; 功率:16.17dbm; 时钟周期:1000001.1660us; 发送电流:62.05mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:20 : Id:315180533116; 频点:492079889Hz; 功率:16.40dbm; 时钟周期:1000002.0330us; 发送电流:62.31mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:31 : Id:315180533026; 频点:492079909Hz; 功率:16.00dbm; 时钟周期:1000001.2660us; 发送电流:60.97mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
