INFO   09:10:58 : Id:315180537435; 频点:492080095Hz; 功率:16.00dbm; 时钟周期:1000001.1660us; 发送电流:61.75mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:11:24 : Id:315180537733; 频点:492079978Hz; 功率:15.67dbm; 时钟周期:1000001.1660us; 发送电流:61.84mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:11:37 : Id:315180537330; 频点:492079970Hz; 功率:16.10dbm; 时钟周期:1000001.2330us; 发送电流:59.67mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:11:53 : Id:315180537438; 频点:492080024Hz; 功率:15.90dbm; 时钟周期:1000001.5000us; 发送电流:59.87mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:12:08 : Id:315180537413; 频点:492080021Hz; 功率:15.53dbm; 时钟周期:1000001.0330us; 发送电流:62.45mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:12:26 : Id:315180537371; 频点:492080048Hz; 功率:16.13dbm; 时钟周期:1000002.3000us; 发送电流:50.79mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:12:39 : Id:315180537546; 频点:492080005Hz; 功率:16.23dbm; 时钟周期:1000001.2000us; 发送电流:60.86mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:12:55 : Id:315180537743; 频点:492079956Hz; 功率:15.97dbm; 时钟周期:1000001.4330us; 发送电流:60.39mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:13:10 : Id:315180537423; 频点:492079985Hz; 功率:16.10dbm; 时钟周期:1000001.1330us; 发送电流:61.91mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:13:36 : Id:315180537392; 频点:492079987Hz; 功率:16.20dbm; 时钟周期:1000001.1000us; 发送电流:61.93mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:06 : Id:315180537415; 频点:492079981Hz; 功率:15.87dbm; 时钟周期:1000000.9000us; 发送电流:66.41mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:33 : Id:315180537328; 频点:492080019Hz; 功率:15.87dbm; 时钟周期:1000002.3330us; 发送电流:66.11mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:45 : Id:315180537368; 频点:492079996Hz; 功率:16.30dbm; 时钟周期:1000001.3000us; 发送电流:61.41mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:58 : Id:315180537387; 频点:492080036Hz; 功率:16.10dbm; 时钟周期:1000001.1330us; 发送电流:60.79mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:15:10 : Id:315180537374; 频点:492079912Hz; 功率:16.40dbm; 时钟周期:1000002.2330us; 发送电流:62.19mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:15:27 : Id:315180537406; 频点:492080028Hz; 功率:16.20dbm; 时钟周期:1000001.4330us; 发送电流:61.14mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:15:44 : Id:315180537388; 频点:492079930Hz; 功率:16.00dbm; 时钟周期:1000000.6000us; 发送电流:60.81mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:15:59 : Id:315180537399; 频点:492080017Hz; 功率:15.93dbm; 时钟周期:1000002.1330us; 发送电流:65.37mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:16:15 : Id:315180537393; 频点:492079905Hz; 功率:16.00dbm; 时钟周期:1000000.7330us; 发送电流:62.04mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:16:30 : Id:315180537532; 频点:492079926Hz; 功率:16.30dbm; 时钟周期:1000001.4000us; 发送电流:61.55mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
